Basketball Matches (live) - 2025-10-20 20:01:26
============================================================

Partizan vs FMP Beograd
  1: 1.04 @ AUTO
  2: 11.5 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.97 @ AUTO
  H2: 1.95 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.87 @ AUTO

Bayern Munich vs Braunschweig
  1: 1.04 @ AUTO
  2: 10.0 @ AUTO
  H1: 1.77 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.88 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Virtus Bologna vs Vanoli Cremona
  1: 1.12 @ AUTO
  2: 8.2 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.91 @ AUTO
  H2: 1.95 @ AUTO
  Under: 162.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Maccabi Rishon vs Hapoel Tel Aviv
  1: 5.2 @ AUTO
  2: 1.21 @ AUTO
  H1: 1.8 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 168.5 @ AUTO
  Over: 1.9 @ AUTO

Minas vs Sao Jose Dos Campos
  1: 1.25 @ AUTO
  2: 3.9 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.85 @ AUTO
  Under: 155.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Paulistano vs Bauru
  1: 1.51 @ AUTO
  2: 2.51 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.73 @ AUTO
  H2: 1.95 @ AUTO
  Under: 153.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Botafogo vs Cearense
  1: 2.02 @ AUTO
  2: 1.75 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 1.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 152.5 @ AUTO
  Over: 1.89 @ AUTO

Atenas vs San Lorenzo
  1: 1.55 @ AUTO
  2: 2.55 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.97 @ AUTO
  Under: 158.5 @ AUTO
  Handicap2: 1.93 @ AUTO

Wonju DB vs Sonic Boom
  1: 1.61 @ AUTO
  2: 2.28 @ AUTO
  H1: 1.93 @ AUTO
  Handicap: 1.82 @ AUTO
  H2: 1.85 @ AUTO
  Under: 150.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Neftchi IK vs Kalev Cramo
  1: 5.4 @ AUTO
  2: 1.17 @ AUTO
  H1: 1.82 @ AUTO
  Handicap: 11.5 @ AUTO
  H2: 1.95 @ AUTO
  Under: 1.87 @ AUTO
  Handicap2: 164.5 @ AUTO
  Over: 1.88 @ AUTO

Brno vs Bilbao
  1: 4.7 @ AUTO
  2: 1.23 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 165.5 @ AUTO
  Over: 1.87 @ AUTO

Lahti Basketball vs Salon Vilpas
  1: 3.7 @ AUTO
  2: 1.29 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 7.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.87 @ AUTO
  Handicap2: 180.5 @ AUTO
  Over: 1.9 @ AUTO

KTP Kotka Basket vs Honka Espoo
  1: 1.19 @ AUTO
  2: 4.81 @ AUTO
  H1: 1.84 @ AUTO
  Handicap: 1.95 @ AUTO
  H2: 1.93 @ AUTO
  Under: 168.5 @ AUTO
  Handicap2: 1.83 @ AUTO

Kouvot Kouvola vs Bisons Loimaa
  1: 2.18 @ AUTO
  2: 1.63 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 1.85 @ AUTO
  Under: 1.95 @ AUTO
  Handicap2: 178.5 @ AUTO
  Over: 1.83 @ AUTO

Vrsac vs KK Siroki Brijeg
  1: 1.76 @ AUTO
  2: 2.04 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.84 @ AUTO
  Under: 156.5 @ AUTO
  Handicap2: 1.86 @ AUTO

VEF Riga vs Ventspils
  1: 1.13 @ AUTO
  2: 5.7 @ AUTO
  H1: 1.82 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.9 @ AUTO
  Under: 170.5 @ AUTO
  Handicap2: 1.82 @ AUTO

Rostock Seawolves vs Antwerp Giants
  1: 1.18 @ AUTO
  2: 5.2 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.95 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.84 @ AUTO

Nymburk vs USK Praha
  1: 1.01 @ AUTO
  2: 13.0 @ AUTO
  H1: 1.83 @ AUTO
  Handicap: 1.87 @ AUTO
  H2: 1.86 @ AUTO
  Under: 172.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Neptunas vs Hamburg Towers
  1: 1.27 @ AUTO
  2: 4.4 @ AUTO
  H1: 1.97 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.94 @ AUTO
  Under: 179.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Igokea vs Pallacanestro Trieste
  1: 1.62 @ AUTO
  2: 2.37 @ AUTO
  H1: 1.92 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.9 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.9 @ AUTO

KK Sloboda Dita Tuzla vs KK Podgorica
  1: 1.34 @ AUTO
  2: 4.1 @ AUTO
  H1: 1.74 @ AUTO
  Handicap: 1.84 @ AUTO
  H2: 1.83 @ AUTO
  Under: 155.5 @ AUTO
  Handicap2: 1.87 @ AUTO

Baerum Basket vs Centrum Tigers Oslo
  1: 5.2 @ AUTO
  2: 1.17 @ AUTO
  H1: 1.84 @ AUTO
  Handicap: 10.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.85 @ AUTO
  Handicap2: 171.5 @ AUTO
  Over: 1.85 @ AUTO

Gimle vs Froya Ambassadors
  1: 1.62 @ AUTO
  2: 2.42 @ AUTO
  H1: 1.79 @ AUTO
  Handicap: 1.79 @ AUTO
  H2: 1.85 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Cibona vs Dijon
  1: 4.7 @ AUTO
  2: 1.21 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.95 @ AUTO
  Handicap2: 165.5 @ AUTO
  Over: 1.83 @ AUTO

Ulm vs Besiktas
  1: 2.14 @ AUTO
  2: 1.77 @ AUTO
  H1: 1.84 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 1.99 @ AUTO
  Under: 1.97 @ AUTO
  Handicap2: 172.5 @ AUTO
  Over: 1.9 @ AUTO

Aris vs Manresa
  1: 2.23 @ AUTO
  2: 1.71 @ AUTO
  H1: 1.79 @ AUTO
  Handicap: 3.5 @ AUTO
  H2: 2.06 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 164.5 @ AUTO
  Over: 1.95 @ AUTO

Galatasaray vs Wurzburg
  1: 1.37 @ AUTO
  2: 3.5 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.97 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Hapoel M. Jerusalem vs Slask Wroclaw
  1: 1.13 @ AUTO
  2: 6.7 @ AUTO
  H1: 1.97 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.9 @ AUTO
  Under: 172.5 @ AUTO
  Handicap2: 1.95 @ AUTO

Le Mans vs Benfica
  1: 1.14 @ AUTO
  2: 7.2 @ AUTO
  H1: 1.95 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.9 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Spartak Subotica vs Gran Canaria
  1: 3.1 @ AUTO
  2: 1.38 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 6.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 161.5 @ AUTO
  Over: 1.92 @ AUTO

Oklahoma City Thunder vs Houston Rockets
  1: 1.34 @ AUTO
  2: 3.66 @ AUTO
  H1: 1.96 @ AUTO
  Handicap: 1.96 @ AUTO
  H2: 1.96 @ AUTO
  Under: 1.96 @ AUTO

LA Lakers vs Golden State Warriors
  1: 2.14 @ AUTO
  2: 1.8 @ AUTO
  H1: 1.78 @ AUTO
  Handicap: 3.5 @ AUTO
  H2: 2.2 @ AUTO
  Under: 1.96 @ AUTO
  Handicap2: 1.96 @ AUTO

Cairns vs Perth
  1: 1.95 @ AUTO
  2: 1.78 @ AUTO
  H1: 1.72 @ AUTO
  Handicap: 1.5 @ AUTO
  H2: 1.95 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 172.5 @ AUTO
  Over: 1.88 @ AUTO

Maccabi Tel Aviv vs Real Madrid
  1: 3.02 @ AUTO
  2: 1.45 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 6.5 @ AUTO
  H2: 2.02 @ AUTO
  Under: 1.93 @ AUTO
  Handicap2: 175.5 @ AUTO
  Over: 1.93 @ AUTO

Orlando Magic vs Miami
  1: 1.36 @ AUTO
  2: 3.85 @ AUTO
  H1: 2.01 @ AUTO
  Handicap: 1.91 @ AUTO
  H2: 2.03 @ AUTO
  Under: 1.9 @ AUTO

Charlotte vs Brooklyn Nets
  1: 1.54 @ AUTO
  2: 2.85 @ AUTO
  H1: 1.96 @ AUTO
  Handicap: 2.04 @ AUTO
  H2: 1.92 @ AUTO
  Under: 1.9 @ AUTO

New York Knicks vs Cleveland Cavaliers
  1: 1.73 @ AUTO
  2: 2.26 @ AUTO
  H1: 2.0 @ AUTO
  Handicap: 1.96 @ AUTO
  H2: 1.97 @ AUTO
  Under: 1.97 @ AUTO

Boston vs Philadelphia 76ers
  1: 1.72 @ AUTO
  2: 2.28 @ AUTO
  H1: 1.92 @ AUTO
  Handicap: 2.0 @ AUTO
  H2: 1.96 @ AUTO
  Under: 1.96 @ AUTO

Atlanta vs Toronto Raptors
  1: 1.45 @ AUTO
  2: 3.0 @ AUTO
  H1: 1.91 @ AUTO
  Handicap: 2.01 @ AUTO
  H2: 1.94 @ AUTO
  Under: 1.98 @ AUTO

Chicago Bulls vs Detroit Pistons
  1: 2.5 @ AUTO
  2: 1.65 @ AUTO
  H1: 1.96 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 2.0 @ AUTO
  Under: 1.96 @ AUTO
  Handicap2: 1.96 @ AUTO

Memphis vs New Orleans Pelicans
  1: 1.65 @ AUTO
  2: 2.46 @ AUTO
  H1: 1.96 @ AUTO
  Handicap: 1.96 @ AUTO
  H2: 1.99 @ AUTO
  Under: 1.93 @ AUTO

Milwaukee Bucks vs Washington Wizards
  1: 1.3 @ AUTO
  2: 4.01 @ AUTO
  H1: 1.98 @ AUTO
  Handicap: 2.01 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.9 @ AUTO

Utah Jazz vs LA Clippers
  1: 4.4 @ AUTO
  2: 1.3 @ AUTO
  H1: 1.91 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 2.01 @ AUTO
  Under: 1.93 @ AUTO
  Handicap2: 1.99 @ AUTO

Dallas Mavericks vs San Antonio Spurs
  1: 1.72 @ AUTO
  2: 2.28 @ AUTO
  H1: 2.0 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.9 @ AUTO

Phoenix vs Sacramento
  1: 1.64 @ AUTO
  2: 2.44 @ AUTO
  H1: 1.93 @ AUTO
  Handicap: 1.99 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.91 @ AUTO

Portland Trail Blazers vs Minnesota Timberwolves
  1: 2.5 @ AUTO
  2: 1.67 @ AUTO
  H1: 1.96 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 2.0 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 1.92 @ AUTO

Asvel vs Dubai
  1: 2.23 @ AUTO
  2: 1.72 @ AUTO
  H1: 1.78 @ AUTO
  Handicap: 3.5 @ AUTO
  H2: 2.08 @ AUTO
  Under: 1.95 @ AUTO
  Handicap2: 168.5 @ AUTO
  Over: 1.93 @ AUTO

