Basketball Matches (live) - 2025-10-31 13:04:44
============================================================

Esenler Erokspor vs Tofas
  1: 1.66 @ AUTO
  2: 2.2 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.77 @ AUTO
  H2: 1.87 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.92 @ AUTO

KTP Kotka Basket vs Karhu Basket
  1: 1.22 @ AUTO
  2: 4.7 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.88 @ AUTO
  Under: 164.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Kouvot Kouvola vs Salon Vilpas
  1: 4.7 @ AUTO
  2: 1.2 @ AUTO
  H1: 1.7 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 1.92 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 186.5 @ AUTO
  Over: 1.9 @ AUTO

Helsinki Seagulls vs Pyrinto Tampere
  1: 1.16 @ AUTO
  2: 5.35 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 1.87 @ AUTO
  H2: 1.85 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Lapuan Korikobrat vs Lahti Basketball
  1: 1.75 @ AUTO
  2: 2.04 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.87 @ AUTO
  Under: 174.5 @ AUTO
  Handicap2: 1.9 @ AUTO

BK Ogre vs Ventspils
  1: 2.04 @ AUTO
  2: 1.75 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 1.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 167.5 @ AUTO
  Over: 1.88 @ AUTO

Zalakeramia-Zte Kk vs Kaposvari Kk
  1: 1.8 @ AUTO
  2: 1.95 @ AUTO
  H1: 1.97 @ AUTO
  Handicap: 1.83 @ AUTO
  H2: 1.87 @ AUTO
  Under: 179.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Egis Kormend vs Szte-Szedeak
  1: 1.25 @ AUTO
  2: 4.1 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.88 @ AUTO
  Under: 170.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Kk Hercegovac vs OKK Beograd
  1: 1.62 @ AUTO
  2: 2.4 @ AUTO
  H1: 2.09 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.92 @ AUTO
  Under: 173.5 @ AUTO
  Handicap2: 1.8 @ AUTO

Mega vs KD Ilirija
  1: 1.47 @ AUTO
  2: 3.0 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.9 @ AUTO
  Under: 174.5 @ AUTO
  Handicap2: 1.95 @ AUTO

Ankara Kolejliler vs Mamak Belediyesi Yeni Mamak Spor
  1: 1.5 @ AUTO
  2: 2.47 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.68 @ AUTO
  H2: 1.9 @ AUTO
  Under: 158.5 @ AUTO
  Handicap2: 1.82 @ AUTO

Keila Basket vs Latvijas Universitate
  1: 1.22 @ AUTO
  2: 4.3 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.91 @ AUTO
  H2: 1.93 @ AUTO
  Under: 168.5 @ AUTO
  Handicap2: 1.83 @ AUTO

Monaco vs Panathinaikos
  1: 1.8 @ AUTO
  2: 2.21 @ AUTO
  H1: 2.0 @ AUTO
  Handicap: 1.91 @ AUTO
  H2: 1.96 @ AUTO
  Under: 173.5 @ AUTO
  Handicap2: 1.92 @ AUTO

Sl Iat Leotar Trebinje vs KK Siroki Brijeg
  1: 3.1 @ AUTO
  2: 1.39 @ AUTO
  H1: 1.89 @ AUTO
  Handicap: 5.5 @ AUTO
  H2: 1.85 @ AUTO
  Under: 1.86 @ AUTO
  Handicap2: 160.5 @ AUTO
  Over: 1.85 @ AUTO

UU Korihait Uusikaupunki vs Honka Espoo
  1: 1.18 @ AUTO
  2: 5.0 @ AUTO
  H1: 1.73 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.9 @ AUTO
  Under: 176.5 @ AUTO
  Handicap2: 1.95 @ AUTO

Swans Gmunden vs Kapfenberg Bulls
  1: 1.35 @ AUTO
  2: 3.3 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.8 @ AUTO
  H2: 1.89 @ AUTO
  Under: 160.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Graz UBSC vs Wels
  1: 2.06 @ AUTO
  2: 1.74 @ AUTO
  H1: 1.78 @ AUTO
  Handicap: 1.5 @ AUTO
  H2: 1.85 @ AUTO
  Under: 1.93 @ AUTO
  Handicap2: 160.5 @ AUTO
  Over: 1.85 @ AUTO

Traiskirchen Lions vs St. Polten
  1: 1.15 @ AUTO
  2: 5.2 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 1.8 @ AUTO
  H2: 1.9 @ AUTO
  Under: 158.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Split vs KK Kvarner 2010
  1: 1.06 @ AUTO
  2: 9.5 @ AUTO
  H1: 1.76 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.85 @ AUTO
  Under: 155.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Jamtland vs Koping Stars
  1: 1.19 @ AUTO
  2: 4.4 @ AUTO
  H1: 1.83 @ AUTO
  Handicap: 1.8 @ AUTO
  H2: 1.87 @ AUTO
  Under: 181.5 @ AUTO
  Handicap2: 1.9 @ AUTO

BSC Furstenfeld Panthers vs BK Dukes Klosterneuburg
  1: 11.4 @ AUTO
  2: 1.04 @ AUTO
  H1: 1.74 @ AUTO
  Handicap: 15.5 @ AUTO
  H2: 1.83 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 165.5 @ AUTO
  Over: 1.85 @ AUTO

Sbb Baskets Wolmirstedt vs Phoenix Hagen
  1: 5.9 @ AUTO
  2: 1.11 @ AUTO
  H1: 1.73 @ AUTO
  Handicap: 11.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.95 @ AUTO
  Handicap2: 169.5 @ AUTO
  Over: 1.83 @ AUTO

Hyeres Toulon vs Aix Maurienne
  1: 1.62 @ AUTO
  2: 2.27 @ AUTO
  H1: 1.93 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.92 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Nantes vs BC Gries Souffel
  1: 2.04 @ AUTO
  2: 1.95 @ AUTO
  H1: 1.98 @ AUTO
  Handicap: 1.68 @ AUTO
  H2: 1.92 @ AUTO
  Under: 162.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Wurzburg vs Jena
  1: 1.26 @ AUTO
  2: 4.34 @ AUTO
  H1: 1.96 @ AUTO
  Handicap: 1.91 @ AUTO
  H2: 1.93 @ AUTO
  Under: 163.5 @ AUTO
  Handicap2: 1.91 @ AUTO

Rouen vs Orleans
  1: 2.75 @ AUTO
  2: 1.47 @ AUTO
  H1: 1.77 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.92 @ AUTO
  Handicap2: 160.5 @ AUTO
  Over: 1.85 @ AUTO

KK Dinamo Zagreb vs Zabok
  1: 1.55 @ AUTO
  2: 2.42 @ AUTO
  H1: 1.72 @ AUTO
  Handicap: 1.83 @ AUTO
  H2: 1.9 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Den Bosch Basketball vs Kortrijk Spurs Hse A
  1: 1.47 @ AUTO
  2: 2.8 @ AUTO
  H1: 1.8 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.85 @ AUTO
  Under: 168.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Roanne vs Vichy Clermont
  1: 1.29 @ AUTO
  2: 3.7 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.82 @ AUTO
  H2: 1.88 @ AUTO
  Under: 160.5 @ AUTO
  Handicap2: 1.88 @ AUTO

